EGFR,NCAPH2,-0.500000
PPP1CC,ACTG1,-0.500000
BRCA1,XIAP,-0.560381
APC,TFAP2A,-0.560381
SET,BANF1,-0.500000
SUCLG1,SEPT9,-0.500000
SUMO4,G6PD,-0.500000
SF3B4,SF1,-0.500000
PINK1,SNCAIP,-0.500000
VCP,FLNB,-0.500000
TPM3,UBC,-0.691403
APOA1,CP,-0.500000
EED,TAF15,-0.500000
UBC,PGK1,-0.700581
HADHB,UBC,-0.620762
SYNCRIP,IGF2BP1,-0.500000
CLU,RAD21,-0.500000
ERBB2,CTNNB1,-0.640200
EIF2AK2,IGF2BP2,-0.500000
INSR,GRB10,-0.708883
EWSR1,NDRG1,-0.500000
TGFBR1,OCLN,-0.560381
TYMS,GOT1,-0.500000
VIM,SERPINH1,-0.500000
PPIA,USP4,-0.500000
TUFM,PARK2,-0.500000
NSUN2,RPS27A,-0.500000
U2AF2,RPS24,-0.500000
ENO1,MYOC,-0.500000
BAZ1B,EED,-0.500000
SNCA,PARK2,-0.656082
GAPDH,PSEN1,-0.500000
CAST,LRBA,-0.500000
PUF60,DDB1,-0.500000
ITGB2,PRKCB,-0.500000
MAX,DYNC1H1,-0.500000
HP,HBB,-0.500000
PRKDC,RAD21,-0.560381
SART3,UBC,-0.595701
EGFR,RASA1,-0.595701
WHSC1,UBC,-0.500000
LMNA,PML,-0.500000
PINK1,IRS4,-0.500000
EWSR1,ATXN3,-0.500000
SMARCAD1,RUVBL2,-0.500000
CDKN1A,USP4,-0.500000
RPSA,RPL11,-0.500000
CUL4B,TUBB1,-0.500000
SMAD4,FHL1,-0.560381
HNRNPA1,HNRNPA2B1,-0.595701
PRKCZ,NPM1,-0.500000
STK4,PHGDH,-0.500000
ARRB1,MAPK3,-0.500000
PRDX2,RIF1,-0.500000
RB1,HMGA2,-0.595701
BAX,UBC,-0.656082
NSUN2,RDX,-0.500000
UBC,HSPA1L,-0.716463
AGRN,UBC,-0.560381
SMARCAD1,LMNB1,-0.500000
HSPA8,IL16,-0.560381
WHSC1,RUVBL2,-0.500000
UBC,RNASEH2A,-0.669510
UBTF,SUMO1,-0.500000
COL1A2,PDGFB,-0.560381
IFI16,TP53,-0.500000
BRCA1,STAT1,-0.595701
U2AF1,RBM10,-0.500000
HSPA5,AKT1,-0.500000
YWHAE,TUBA1A,-0.500000
TFAP2A,RB1,-0.560381
MAP3K7,UBC,-0.741523
BLM,SUMO1,-0.500000
TCOF1,TOP1,-0.500000
GIGYF2,ATN1,-0.500000
BAG3,CSTB,-0.500000
PRMT1,STAT1,-0.560381
PRPF6,EED,-0.500000
PUF60,UBC,-0.656082
WHSC1,LMNB1,-0.500000
PSEN2,PSEN1,-0.595701
SMARCA2,BANF1,-0.500000
RANBP2,EED,-0.500000
APP,UBC,-0.691403
RPS6KA3,ESR1,-0.500000
RAC1,SYNJ2,-0.620762
AKT1,HK1,-0.500000
RPL11,TP53,-0.595701
CUL4B,RPS27A,-0.500000
ILF3,SYNCRIP,-0.500000
UBC,KDM5C,-0.595701
F11,GP1BA,-0.500000
HSPA8,BRCA1,-0.500000
FIP1L1,HNRNPA1,-0.560381
SRPK1,PRPF8,-0.500000
WHSC1,RBMX,-0.500000
MIF,CD74,-0.560381
UBA1,PABPC1,-0.500000
PTK2B,RASA1,-0.595701
NPPA,NPR3,-0.620762
TARDBP,BRCA1,-0.500000
SMARCA4,ARID1B,-0.691403
PRMT1,MRE11A,-0.500000
SOD1,PPIA,-0.500000
PHF3,UBC,-0.500000
SF3B4,UBC,-0.620762
GPKOW,UBC,-0.595701
DHX9,SMARCAD1,-0.500000
GFAP,EIF2AK2,-0.500000
EPHX1,UBC,-0.640200
MALT1,USP2,-0.500000
USP9X,UBQLN2,-0.500000
GRB2,HSPG2,-0.500000
FUBP1,RPS15,-0.500000
SQSTM1,UBC,-0.835391
SLC25A6,LMNA,-0.500000
ACTA1,AKT1,-0.500000
IFI16,UBC,-0.640200
ESR1,SERPINH1,-0.500000
TP53,HDAC4,-0.500000
TRAF1,CFLAR,-0.560381
TMPO,SMARCAD1,-0.500000
UBC,GCLC,-0.560381
APP,QKI,-0.500000
NHP2,DKC1,-0.560381
MLLT4,UBC,-0.500000
SYNJ2,ITSN1,-0.500000
APP,MDM2,-0.500000
EIF2S3,UBC,-0.700581
RELA,C1QB,-0.500000
PTEN,AKT1,-0.500000
ATF6,GTF2I,-0.500000
SUMO1,PABPC1,-0.500000
NSUN2,PFDN5,-0.560381
BRCA1,RFC2,-0.500000
RPL10,RPS24,-0.500000
PUF60,FN1,-0.500000
SUMO1,ACAT1,-0.500000
ITPR3,UBC,-0.620762
GCKR,UBC,-0.500000
RPL26,TARDBP,-0.500000
WARS,GART,-0.500000
YWHAE,ASNS,-0.500000
ECE1,MYOC,-0.500000
MTMR14,UBC,-0.595701
UBC,RBM14,-0.640200
IGFBP7,RTN4,-0.500000
HSPA8,BAG3,-0.669510
RPL36,CNBP,-0.500000
PFN1,ESR1,-0.620762
ACTB,UBC,-0.735901
ADAM15,ARHGEF6,-0.500000
CTTN,NPM1,-0.500000
UBC,TUBB1,-0.669510
CDC73,MYH9,-0.500000
EGFR,MARS,-0.500000
HSPA8,FN1,-0.500000
EIF2AK2,ACACA,-0.500000
FN1,CSNK2A1,-0.500000
HADHA,CD74,-0.500000
UBC,SMS,-0.640200
PSMA6,CCT5,-0.500000
UBC,TNC,-0.500000
KIF4A,EED,-0.500000
CASP1,CASP8,-0.500000
PTK2,MDM2,-0.500000
AR,HDAC4,-0.620762
WNK4,UBC,-0.595701
APP,PLS3,-0.500000
DKC1,RBM28,-0.500000
FAS,TNF,-0.500000
PSMA6,SHFM1,-0.500000
STK4,YWHAE,-0.500000
ASS1,GSS,-0.500000
AXIN1,DVL2,-0.500000
HNRNPA1,CTNNB1,-0.560381
DDX17,SF3A1,-0.500000
PRKDC,UBC,-0.708883
RAC1,VWF,-0.500000
SPTB,SPTAN1,-0.500000
WHSC1,GNL3,-0.500000
PRKCA,TOP2A,-0.500000
HUWE1,SNRNP200,-0.500000
NPM1,HSPB1,-0.500000
PDHA1,MSN,-0.500000
RPSA,CTNNB1,-0.500000
APP,DIDO1,-0.500000
HNRNPA1,RBM39,-0.500000
ENO3,GPI,-0.500000
PTPRZ1,CTNNB1,-0.500000
PRKCD,UBC,-0.640200
TPM4,MYH9,-0.500000
FANCD2,TNFRSF1A,-0.500000
API5,BAG3,-0.500000
UBC,SEC23A,-0.640200
SUMO1,PCBP1,-0.500000
HNRNPA1,TARDBP,-0.595701
SUMO1,EHMT1,-0.500000
DYNC1H1,RPS24,-0.500000
NKAP,LUC7L2,-0.500000
SET,GART,-0.500000
PLIN3,ADSL,-0.500000
PRKCA,ACIN1,-0.500000
ADAM17,UBC,-0.595701
VCP,BRCA1,-0.560381
CHD7,UBC,-0.595701
RPS4X,RPS24,-0.560381
AKT1,KRT10,-0.560381
BCL2,PSEN1,-0.560381
SLC25A6,VIM,-0.500000
APP,LGALS3,-0.500000
MDN1,UBC,-0.656082
TNPO3,EGFR,-0.500000
SHFM1,CKAP5,-0.500000
PRKDC,U2AF2,-0.500000
HSPA8,MDM2,-0.500000
SLC25A5,LMNA,-0.500000
SNCA,ACTB,-0.500000
PHGDH,RPS27A,-0.500000
SF3B1,TFPI,-0.500000
ACTA1,VIM,-0.500000
ENO1,NPM1,-0.500000
YTHDF2,ESR1,-0.500000
FASLG,TNFRSF1A,-0.560381
PRKCD,STAT1,-0.681143
RPS4X,RPS10,-0.595701
ILF3,EED,-0.500000
RPL11,MDM2,-0.801904
PRKDC,EED,-0.500000
SUMO1,NFKBIA,-0.640200
RELA,OGT,-0.500000
APP,EIF6,-0.500000
PSMD4,GSN,-0.500000
CALM1,RAF1,-0.500000
FN1,PFN1,-0.500000
LMNA,EED,-0.500000
UBC,KEL,-0.500000
WHSC1,HNRNPD,-0.500000
SUMO1,FASLG,-0.500000
MLH1,BRCA1,-0.595701
PTPN2,UBC,-0.500000
RB1,PML,-0.560381
MEF2C,EP300,-0.560381
ITGB2,PLAUR,-0.500000
APP,TPD52L2,-0.500000
BLM,MIB1,-0.595701
MRE11A,EP300,-0.500000
PARK7,PPP2R1B,-0.500000
SUMO1,KAT6B,-0.500000
RPS7,FN1,-0.500000
APP,PPIA,-0.500000
HIST2H2BF,UBC,-0.691403
INF2,UBC,-0.640200
GAPDH,CUL4B,-0.500000
VAPB,SEPT9,-0.500000
RNF113A,RBM39,-0.500000
SUMO1,RB1,-0.560381
APC,KRT17,-0.500000
SUMO1,PML,-0.814551
RELA,EP300,-0.723436
ACTG1,ACTA1,-0.500000
RPS4X,PABPC1,-0.500000
TARDBP,U2AF2,-0.500000
FN1,MLLT4,-0.500000
SLC25A6,NDRG1,-0.500000
PSMA6,STK4,-0.500000
EPB41,NPPA,-0.500000
CDC73,KMT2A,-0.560381
UBC,APRT,-0.691403
DFFA,UBC,-0.595701
RPL26,SUMO1,-0.500000
DLD,FN1,-0.500000
NEDD4L,NOTCH1,-0.500000
JAK1,INSR,-0.500000
CDKN1A,CDC6,-0.500000
TGFBR1,USP11,-0.500000
FLII,HNRNPM,-0.500000
DCTN1,VIM,-0.500000
FN1,DNM2,-0.500000
EIF2B3,HNRNPM,-0.500000
SUMO1,SNRNP200,-0.560381
HADHB,HADHA,-0.500000
SUMO1,SPTBN1,-0.560381
UBC,BCL2L1,-0.669510
HSPA9,ARRB1,-0.500000
NPM1,APEX1,-0.500000
SRPK1,PABPC1,-0.500000
PLG,SERPINF2,-0.560381
SDHA,CYB5R3,-0.500000
SPTBN1,CDH2,-0.500000
EIF6,CNBP,-0.500000
ACTC1,CD2AP,-0.500000
DHX9,HNRNPC,-0.595701
SRSF6,TARDBP,-0.500000
MYOC,VIM,-0.500000
F2R,PDCD6IP,-0.595701
GFAP,ALB,-0.500000
TMPO,RAD21,-0.500000
APP,RPL36,-0.500000
AASS,UBC,-0.560381
ITGA2B,F2,-0.500000
TP53,HUWE1,-0.620762
AXIN1,TP53,-0.560381
DDB1,NF2,-0.620762
APP,CUL4B,-0.500000
EGFR,CTNND1,-0.500000
HDAC4,STAT1,-0.500000
CASP8,TFCP2,-0.500000
SNCA,UBC,-0.741523
ZNF598,UBC,-0.656082
CARD11,UBC,-0.595701
TARDBP,ZC3HAV1,-0.500000
PIN1,COL11A2,-0.500000
APP,MCFD2,-0.500000
RPL15,STAU1,-0.500000
RPL5,RPS26,-0.500000
FN1,F13A1,-0.500000
DDB1,BANF1,-0.500000
SUMO1,ATXN3,-0.560381
UBQLN2,SEC23A,-0.500000
U2AF2,ESR1,-0.500000
DNAJB6,UBC,-0.669510
MSH6,PMS1,-0.500000
FGG,FGB,-0.500000
ACTR1A,LMNB1,-0.500000
GRIN2A,SPTAN1,-0.560381
GLRX3,UBC,-0.620762
RPL15,ILF3,-0.500000
RELA,CCL5,-0.500000
MAP3K14,CASP10,-0.500000
ATM,SKP2,-0.500000
FN1,CCT5,-0.500000
BIN1,XRCC5,-0.500000
RPL26,APLP2,-0.500000
VIM,RAD51,-0.500000
HNRNPDL,EED,-0.500000
UBC,FUS,-0.656082
RPS27A,ISG15,-0.500000
DDX17,RANBP2,-0.500000
UBC,PFDN5,-0.681143
CUL4B,ALDOA,-0.500000
STK4,ABL1,-0.560381
EWSR1,CUL4B,-0.500000
IGF2R,FN1,-0.500000
UBC,RPS4Y2,-0.640200
SPTAN1,MSN,-0.500000
JAK1,EGFR,-0.500000
DHX9,ACTA1,-0.595701
HSPD1,ISG15,-0.560381
SCP2,HSD17B4,-0.500000
RB1CC1,PTK2B,-0.620762
DDB1,FLNC,-0.500000
DHX9,RELA,-0.595701
RB1,PPIA,-0.560381
USH2A,BRCA1,-0.500000
PNP,TP53,-0.500000
EGFR,MAPK8IP1,-0.500000
ASS1,DLD,-0.500000
PAK2,RAC1,-0.595701
ATM,TP53,-0.746804
VARS,FN1,-0.500000
HSPA9,GRB2,-0.500000
HSPD1,SEPT9,-0.500000
YWHAE,HNRNPC,-0.500000
VCP,AKT1,-0.669510
RPL5,TUBA1A,-0.500000
VCP,RIF1,-0.500000
PRMT1,SH3GL1,-0.500000
PINK1,PRKDC,-0.500000
VEGFA,HNRNPD,-0.560381
PDCD10,UBC,-0.620762
CTGF,VEGFA,-0.560381
PARK7,PARK2,-0.656082
ABI1,UBC,-0.560381
VCP,SUPT16H,-0.500000
MAP2K3,MAPK8IP1,-0.500000
SMARCA4,LMNB1,-0.500000
UBC,HNRNPM,-0.716463
VEGFA,U2AF1,-0.500000
DDX17,HNRNPA1,-0.560381
GRB2,POLR2A,-0.500000
UBE2A,MDM2,-0.560381
PSMD4,CRYAB,-0.500000
TTN,UBC,-0.620762
NPM1,PHB,-0.500000
TCOF1,EED,-0.500000
HSPA5,MSN,-0.500000
UBC,C3,-0.500000
KRT4,UCHL1,-0.500000
UBC,APEH,-0.681143
IFI16,NOTCH1,-0.500000
CLU,HSPA1L,-0.500000
MUC1,TNFRSF1A,-0.500000
SDF4,UBC,-0.595701
EIF2AK2,TFG,-0.500000
UBC,ACY1,-0.595701
SMARCAD1,XRCC5,-0.500000
ACTB,HMMR,-0.500000
EIF2AK2,HNRNPC,-0.560381
FUBP1,EED,-0.500000
HSPA8,PRKCD,-0.500000
SLC25A5,NOP56,-0.500000
CUL4B,HNRNPD,-0.500000
ATP6V0D1,UBC,-0.669510
SDHA,FN1,-0.500000
ZC3HAV1,UBC,-0.669510
MLH1,FLNB,-0.500000
SLC25A4,BAX,-0.560381
DLG1,ATP2B4,-0.500000
VCP,DIAPH3,-0.500000
VCP,STAT1,-0.500000
APP,RBM8A,-0.500000
PRPF6,SUMO1,-0.500000
PRKCSH,PARK2,-0.500000
SF1,TAF15,-0.500000
PCMT1,GDI1,-0.500000
RPS4X,NPM1,-0.500000
RAD21,PDS5A,-0.640200
SUMO1,RAD51,-0.500000
TMPO,UBC,-0.681143
AR,FLNA,-0.500000
APP,KISS1,-0.500000
CALU,UBQLN2,-0.500000
APP,SDF4,-0.500000
MATR3,EED,-0.500000
SHFM1,BRCA1,-0.500000
FXR2,RBMX,-0.500000
CTTN,UBC,-0.640200
RPSA,RPS26,-0.500000
SMARCAD1,RFC2,-0.500000
EIF2AK2,RPL36A,-0.500000
HSPA8,UBC,-0.760962
SP1,MEF2C,-0.560381
CA2,HSPD1,-0.500000
TYMS,UBC,-0.681143
TOP1,UBC,-0.700581
CLU,NFKBIA,-0.500000
SSB,XIAP,-0.500000
VDAC1,TIAL1,-0.500000
IRS4,CUL4B,-0.500000
ERBB2,ESR1,-0.500000
TALDO1,PARK7,-0.500000
EGFR,TUBB4A,-0.500000
ACTA1,CDH2,-0.500000
DYNC1H1,XRCC5,-0.500000
UBA1,UBE2A,-0.500000
PRKCB,UBC,-0.620762
FN1,RAB7A,-0.500000
APC,ACTN1,-0.500000
FASLG,CASP10,-0.500000
FN1,NDUFS3,-0.500000
BRCA1,HMMR,-0.500000
HIF1A,APEX1,-0.500000
SMAD4,ZMYM2,-0.500000
GIT2,ACTG1,-0.500000
RPS4X,RPS17,-0.560381
GRB2,EGFR,-0.816874
APP,SNAP25,-0.500000
UBC,STAU1,-0.595701
SLC25A5,RPS24,-0.500000
PNP,GLO1,-0.500000
SP1,PRKDC,-0.500000
TCOF1,ARRB1,-0.595701
AXIN1,ARRB1,-0.500000
SKP2,CDH1,-0.620762
HNRNPA2B1,EED,-0.500000
RPL10,UBC,-0.708883
EIF4G1,HTRA2,-0.560381
RPL36,UBC,-0.669510
PARK2,TUBA1A,-0.500000
RAD21,LRPPRC,-0.500000
APP,SHMT2,-0.500000
NOP56,EED,-0.500000
USP2,MDM4,-0.560381
ACTA2,EP300,-0.500000
BRF1,UBC,-0.560381
UBC,KIF21A,-0.500000
LMNA,RNF113A,-0.500000
TMPO,MRE11A,-0.500000
